-20713,TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS,T_RIF40_INVESTIGATIONS,"TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS, raised error number: -20713, from line: [0313]",Consult message text,"ORA-20713: T_RIF40_INVESTIGATIONS study: %s investigation: %s numerator: %s min age group: %s is before T_RIF40_STUDIES min age group: %s
Error message arguments: :NEW.study_id/- Study -/,:NEW.inv_id/- Investigation -/,:NEW.numer_tab/- Numerator -/,TO_CHAR(:NEW.min_age_group)/- Investigation min age group -/,TO_CHAR(c2_rec.min_age_group)/- T_RIF40_STUDIES min age group -/"
-20203,TRIGGER: T_RIF40_STUDIES_CHECKS,T_RIF40_STUDIES,"TRIGGER: T_RIF40_STUDIES_CHECKS, raised error number: -20203, from line: [0315]",Consult message text,"ORA-20203: T_RIF40_STUDIES study %s non IG UPDATE not allowed on T_RIF40_STUDIES by user: %s
Error message arguments: :NEW.study_id/* Study id */,USER /* username */"
-20204,TRIGGER: T_RIF40_STUDIES_CHECKS,T_RIF40_STUDIES,"TRIGGER: T_RIF40_STUDIES_CHECKS, raised error number: -20204, from line: [0320]",Consult message text,"ORA-20204: T_RIF40_STUDIES study %s UPDATE not allowed on T_RIF40_STUDIES by user: %s
Error message arguments: :NEW.study_id/* Study id */,USER /* username */"
-20714,TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS,T_RIF40_INVESTIGATIONS,"TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS, raised error number: -20714, from line: [0321]",Consult message text,"ORA-20714: T_RIF40_INVESTIGATIONS study: %s investigation: %s numerator:%s max age group: %s is after T_RIF40_STUDIES max age group: %s
Error message arguments: :NEW.study_id/- Study -/,:NEW.inv_id/- Investigation -/,:NEW.numer_tab/- Numerator -/,TO_CHAR(:NEW.max_age_group)/- Investigation max age group -/,TO_CHAR(c1a_rec.max_age_group)/- T_RIF40_STUDIES max age group -/"
-20830,PACKAGE BODY: RIF40_XML_GENERATOR,,"PACKAGE BODY: RIF40_XML_GENERATOR, raised error number: -20830, from line: [0322]",Consult message text,"ORA-20830: Error: RIF40_XML_GENERATOR invalid statement type %s
Error message arguments: statement_type"
-20205,TRIGGER: T_RIF40_STUDIES_CHECKS,T_RIF40_STUDIES,"TRIGGER: T_RIF40_STUDIES_CHECKS, raised error number: -20205, from line: [0326]",Consult message text,"ORA-20205: T_RIF40_STUDIES study %s DELETE only allowed on own records in T_RIF40_STUDIES, record created by: %s
Error message arguments: :NEW.study_id/* Study id */,:OLD.username /* Insert (old) user name */"
-20275,TRIGGER: T_RIF40_INV_COVARIATES_CHECKS,T_RIF40_INV_COVARIATES,"TRIGGER: T_RIF40_INV_COVARIATES_CHECKS, raised error number: -20275, from line: [0330]",Consult message text,"ORA-20275: T_RIF40_INV_COVARIATES study: %s investigation: %s covariate: %s covariate table column: %s.%s.%s cannot be accessed
Error message arguments: :NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,:NEW.covariate_name/* Covariate */,owner/* Owner */,table_or_view/* Covariate table */,:NEW.study_geolevel_name /* Study geolevel column */"
-20904,PACKAGE BODY: RIF40_SQL_GENERATOR,,"PACKAGE BODY: RIF40_SQL_GENERATOR, raised error number: -20904, from line: [0338]",Consult message text,"ORA-20904: Error: RIF40_SQL_GENERATOR no investigations found for study_id: %s
Error message arguments: c1_rec.study_id"
-20206,TRIGGER: T_RIF40_STUDIES_CHECKS,T_RIF40_STUDIES,"TRIGGER: T_RIF40_STUDIES_CHECKS, raised error number: -20206, from line: [0341]",Consult message text,"ORA-20206: T_RIF40_STUDIES study %s comparison area geolevel name: \"%s\" not found in RIF40_GEOLEVELS
Error message arguments: :NEW.study_id/* Study id */,:NEW.comparison_geolevel_name /* comparison area geolevel name */ "
